name,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,0.824,0.854,-5.312,1,8,0.177,0.016,0.0000495,0.117,0.896,95.114
Over You,0.863,0.325,-7.864,1,0,0.341,0.667,0.0000171,0.1,0.537,98.948
FLIP THE SWITCH (feat. Drake),0.853,0.637,-5.924,0,3,0.331,0.129,0,0.267,0.496,86.048
The Boss,0.734,0.789,-5.328,1,11,0.243,0.0809,0.000115,0.215,0.258,125.992
Party Girl,0.728,0.431,-9.966,0,6,0.0622,0.749,0,0.0996,0.629,130.022
Love Me Again,0.798,0.824,-5.642,0,0,0.413,0.206,0.000308,0.436,0.242,125
Renee,0.924,0.386,-8.183,1,9,0.0548,0.755,0.00253,0.118,0.424,108.957
Don't Rush (feat. Headie One),0.961,0.461,-8.684,1,9,0.27,0.202,0.00402,0.162,0.324,108.028
Right Here Waiting,0.639,0.704,-7.332,1,10,0.0352,0.0646,0,0.445,0.285,115.052
THE SCOTTS,0.716,0.537,-7.648,0,0,0.0514,0.233,0,0.157,0.28,129.979
Cool for the Summer,0.805,0.871,-5.716,1,6,0.286,0.177,0.0000075,0.266,0.443,136.01
Kiss Me,0.588,0.685,-8.08,1,8,0.0624,0.374,0.000155,0.581,0.122,107.938
Red Flag,0.715,0.706,-5.804,0,4,0.383,0.326,0.000231,0.525,0.348,126.069
One too Many Times,0.721,0.778,-6.53,0,8,0.0459,0.00262,0.0000729,0.111,0.449,122.023
Boys Ain't Shit,0.826,0.615,-4.729,0,1,0.137,0.435,0.00631,0.334,0.841,102.999
Boss Bitch,0.707,0.955,-4.593,0,10,0.222,0.127,0,0.202,0.575,125.989
Only Girl,0.792,0.832,-4.406,0,11,0.0397,0.367,0.00164,0.198,0.186,127.983
Tap In,0.954,0.696,-7.117,0,10,0.204,0.00576,0.000498,0.0754,0.432,100.036
Forever,0.753,0.75,-4.314,1,11,0.0817,0.00421,0.0000347,0.0775,0.266,124.998
Rather Be,0.706,0.895,-3.879,0,8,0.148,0.299,0,0.48,0.556,120.978
Savage,0.843,0.741,-5.609,1,11,0.334,0.0252,0,0.096,0.68,168.983
Blueberry Faygo,0.774,0.554,-7.909,1,0,0.0383,0.207,0,0.132,0.349,99.034
Break My Heart,0.73,0.729,-3.434,0,4,0.0884,0.167,0.00000139,0.349,0.467,113.011
On My Way,0.67,0.544,-5.506,1,4,0.0252,0.0429,0,0.0926,0.772,96.039
Astronomia,0.653,0.945,-2.634,1,5,0.096,0.00561,0.915,0.439,0.325,126.093
The Box,0.896,0.586,-6.687,0,10,0.0559,0.104,0,0.79,0.642,116.971
What's up?,0.641,0.597,-7.06,1,9,0.033,0.000399,0,0.367,0.394,120.06
Supalonely,0.863,0.631,-4.689,1,7,0.0534,0.305,0.0000304,0.123,0.817,128.977
Toosie Slide,0.83,0.49,-8.82,0,1,0.209,0.289,0.00000304,0.113,0.845,81.604
Don't Start Now,0.794,0.793,-4.521,0,11,0.0842,0.0125,0,0.0952,0.677,123.941
Be Kind (with Halsey),0.63,0.633,-7.088,1,4,0.0457,0.00776,0,0.0541,0.452,93.995
Intentions (feat. Quavo),0.806,0.546,-6.637,1,9,0.0575,0.3,0,0.102,0.874,147.986
Old Times,0.581,0.718,-5.631,1,1,0.0851,0.0195,0,0.075,0.149,92.992
"Hey, Soul Sister",0.642,0.725,-7.89,1,11,0.0571,0.192,0,0.153,0.134,105.101
Later Bitches,0.769,0.518,-6.563,1,8,0.102,0.000573,0.108,0.342,0.504,121.116
